date,temprature,humidity,wind 
20220111T0600,0.6302454,89.14759,7.289444
20220111T0700,0.9102454,89.1768,7.754637
20220111T0800,1.1202455,88.806595,6.5693827
20220111T0900,1.6902454,88.02613,7.342588
20220111T1000,1.9902455,87.35501,10.30883
20220111T1100,2.7702456,81.77639,11.480557
20220111T1200,3.4902453,77.75489,11.720751
20220111T1300,3.9802456,73.153076,11.304229
20220111T1400,4.3202453,70.89914,10.514218
20220111T1500,3.9102454,75.58963,7.127636
20220111T1600,1.5402454,83.352005,6.4096174
20220111T1700,0.6902454,84.03543,7.289445
20220111T1800,0.16024542,85.02969,8.0899935
20220111T1900,-0.48975456,84.94145,7.9036193
20220111T2000,-0.85975456,84.63624,7.289445
20220111T2100,-1.0097545,83.79212,6.8777895
20220111T2200,-1.3297546,84.63414,6.763786
20220111T2300,-1.7397546,84.768425,6.519877
20220112T0000,-2.1897545,85.54449,5.8603754
20220112T0100,-2.5497546,85.95168,5.6920996
20220112T0200,-2.7997546,85.266045,6.151683
20220112T0300,-2.9797544,85.56699,5.8603754
20220112T0400,-3.1897545,85.276924,5.506941
20220112T0500,-3.1097546,84.18629,5.6920996
20220112T0600,-3.1197548,83.41466,5.5887027
20220112T0700,-3.2597547,81.80736,5.0528407
20220112T0800,-1.9497546,79.37598,3.7585104
20220112T0900,-0.7197546,76.114624,4.6938252
20220112T1000,0.2702454,72.051125,4.2136917
20220112T1100,1.2202454,68.33605,4.6102495
20220112T1200,1.7502455,67.792946,5.495161
20220112T1300,2.4202454,66.88893,5.1919937
20220112T1400,2.8202453,65.79163,6.297428
20220112T1500,2.4702454,71.182785,5.3999996
20220112T1600,0.3002454,79.88505,6.696387
20220112T1700,-1.0097545,84.55171,6.489992
20220112T1800,-1.7997545,86.63756,6.638072
20220112T1900,-2.2097545,87.97177,5.8048253
20220112T2000,-2.5197544,89.27682,4.452954
20220112T2100,-3.0497546,90.24075,5.495161
20220112T2200,-3.3897548,89.3848,3.396233
20220112T2300,-3.6697545,89.76422,3.7585104
20220113T0000,-3.8997545,90.56654,3.6179552
20220113T0100,-3.979755,91.25326,3.6179552
20220113T0200,-3.9197545,89.25767,3.671294
20220113T0300,-4.1997547,90.46639,3.7585104
20220113T0400,-4.2597547,89.76898,3.671294
20220113T0500,-4.1997547,88.272026,3.0758414
20220113T0600,-4.0897546,88.217445,3.4152596
20220113T0700,-4.0897546,88.42084,3.671294
20220113T0800,-3.4397545,85.11142,5.0142193
20220113T0900,-1.4497546,81.10887,5.634891
20220113T1000,-0.0697546,76.87557,5.0911684
20220113T1100,1.0102454,74.35736,5.8048253
20220113T1200,2.1802454,71.33248,6.151683
20220113T1300,2.9702454,70.39694,7.491114
20220113T1400,3.3602452,71.850716,7.145796
20220113T1500,2.5802455,78.51259,6.618519
20220113T1600,0.2602454,83.84973,7.9932966
20220113T1700,-0.5597546,86.922806,5.154415
20220113T1800,-1.0097545,88.24377,4.0249224
20220113T1900,-1.4497546,88.458496,3.6
20220113T2000,-2.0797548,89.324684,2.968636
20220113T2100,-2.5697546,92.14954,3.219938
20220113T2200,-2.6697545,89.73482,2.4149535
20220113T2300,-2.9397545,89.50202,4.510787
20220114T0000,-3.0997548,90.51005,3.7064266
20220114T0100,-3.2597547,90.28766,3.7064266
20220114T0200,-3.3897548,90.48057,3.7064266
20220114T0300,-3.519755,90.81249,4.198285
20220114T0400,-3.8697548,91.124695,5.0142193
20220114T0500,-3.9897547,90.90421,4.829907
20220114T0600,-4.1897545,91.16296,4.8965297
20220114T0700,-4.1097546,91.240585,4.5820518
20220114T0800,-3.3397546,90.21072,4.8965297
20220114T0900,-1.3897547,88.93092,4.829907
20220114T1000,0.17024541,84.65231,4.510787
20220114T1100,1.8202454,78.49607,4.510787
20220114T1200,3.1202455,74.39115,2.8116899
20220114T1300,4.110245,71.27184,2.6208394
20220114T1400,4.8102455,69.30942,2.3051248
20220114T1500,5.7802453,62.80375,4.6102495
20220114T1600,3.6202455,72.97239,5.1165614
20220114T1700,0.11024541,85.08624,3.6
20220114T1800,-0.64975464,88.0874,2.5959969
20220114T1900,-1.4597546,90.6727,2.3051248
20220114T2000,-1.9997545,91.922844,2.5959969
20220114T2100,-2.1397548,92.74275,2.3051248
20220114T2200,-2.2597547,91.968895,3.0547013
20220114T2300,-2.3197546,91.89436,4.5820518
20220115T0000,-2.5697546,92.63716,4.1046314
20220115T0100,-2.8097544,93.389175,3.319036
20220115T0200,-3.2497544,94.77796,3.0547013
20220115T0300,-3.4297547,95.34119,3.7064266
20220115T0400,-3.6497545,95.25468,4.3498964
20220115T0500,-3.8097548,95.38886,4.8965297
20220115T0600,-3.7997546,95.10026,5.0911684
20220115T0700,-4.1297545,95.077965,5.3517847
20220115T0800,-3.1497545,93.64522,6.1305785
20220115T0900,-1.4397546,91.560616,4.8965297
20220115T1000,-0.46975458,89.56211,4.1046314
20220115T1100,0.7202454,85.48355,5.6233797
20220115T1200,2.0402455,82.025795,4.8965297
20220115T1300,3.3102455,79.7378,3.8268526
20220115T1400,3.5502453,78.96703,3.319036
20220115T1500,3.7602453,75.67195,4.6938257
20220115T1600,2.9002452,81.73642,5.4833565
20220115T1700,-0.24975461,89.12063,3.396233
20220115T1800,-0.87975454,90.86382,4.1046314
20220115T1900,-1.5597545,93.067955,4.39436
20220115T2000,-1.8997546,93.7402,5.00128
20220115T2100,-2.0397544,95.00155,5.315336
20220115T2200,-2.0497546,94.71696,3.8939953
20220115T2300,-2.1797547,95.491714,4.6938257
20220116T0000,-2.2897544,95.98696,4.6800003
20220116T0100,-2.3097544,95.26925,4.3349743
20220116T0200,-2.0197544,92.61359,4.32
20220116T0300,-1.8297547,92.00683,5.4119864
20220116T0400,-1.8697547,90.63267,5.4477882
20220116T0500,-1.9497546,89.47334,5.937272
20220116T0600,-2.1097546,88.5834,6.28713
20220116T0700,-2.3297548,89.095406,6.0347
20220116T0800,-1.9597546,88.73407,6.379216
20220116T0900,-0.8497546,88.32796,7.172949
20220116T1000,0.1802454,83.27787,8.225035
20220116T1100,0.7602454,82.13383,9.227524
20220116T1200,1.6402454,77.07898,9.227524
20220116T1300,2.3102455,74.56149,8.557102
20220116T1400,2.2402453,74.437035,7.928178
20220116T1500,2.0102453,80.46583,5.7599998
20220116T1600,0.2402454,86.05725,7.172949
20220116T1700,-0.52975464,88.23251,6.4096174
20220116T1800,-0.3797546,87.399536,5.3517847
20220116T1900,0.13024542,85.66037,7.072878
20220116T2000,0.19024539,83.83972,6.638072
20220116T2100,0.5902454,80.953995,4.5536795
20220116T2200,0.6602454,85.09678,4.8965297
20220116T2300,0.9302454,83.634605,4.8433046
20220117T0000,0.9302454,84.63074,4.072935
20220117T0100,0.8602454,86.19943,4.1046314
20220117T0200,0.7502454,86.88882,3.8939953
20220117T0300,0.4402454,89.72147,4.3498964
20220117T0400,0.84024537,89.169525,5.315336
20220117T0500,0.77024543,89.35931,3.7064266
20220117T0600,0.6802454,89.54763,3.7064266
20220117T0700,-0.0697546,91.14165,5.1919937
20220117T0800,0.41024542,90.38253,4.6938257
20220117T0900,1.7202454,86.75017,3.7064266
20220117T1000,2.6002455,83.381004,8.161764
20220117T1100,3.7602453,80.102196,7.9932966
20220117T1200,4.5902452,77.94728,6.696387
20220117T1300,5.5102453,74.69229,5.6920996
20220117T1400,5.9102454,73.22135,6.162207
20220117T1500,5.770245,74.74191,2.968636
20220117T1600,4.5802455,81.92911,5.1919937
20220117T1700,4.790245,80.73078,4.1046314
20220117T1800,3.6702452,85.3014,4.2136917
20220117T1900,3.2502456,86.93078,3.4152596
20220117T2000,2.9602456,87.71939,0.35999998
20220117T2100,2.3802454,89.65183,1.1384199
20220117T2200,2.3202453,90.62714,3.096837
20220117T2300,1.3802454,92.88361,3.0758414
20220118T0000,1.0402454,93.53877,3.8773184
20220118T0100,0.7802454,94.55202,2.968636
20220118T0200,0.5602454,94.81526,3.0758414
20220118T0300,0.6802454,94.54562,5.1919937
20220118T0400,0.64024544,94.543076,5.1165614
20220118T0500,0.6902454,94.68469,5.1165614
20220118T0600,0.6902454,94.33896,5.8603754
20220118T0700,0.89024544,94.21425,5.904439
20220118T0800,1.4302454,93.49822,7.7043357
20220118T0900,2.5702453,92.30315,9.726664
20220118T1000,3.7902455,90.49851,7.6367526
20220118T1100,4.6202455,87.33682,11.885453
20220118T1200,5.630245,80.398796,11.792404
20220118T1300,5.9302454,75.69257,11.384198
20220118T1400,6.0602455,74.42126,11.246759
20220118T1500,5.610245,75.415535,7.145796
20220118T1600,3.8502455,77.874985,7.24486
20220118T1700,3.1402454,80.2945,5.5887027
20220118T1800,2.6002455,81.09433,5.2416787
20220118T1900,1.7802454,83.386444,5.506941
20220118T2000,1.2102454,84.04615,4.0249224
20220118T2100,1.3902454,83.7001,2.7416782
20220118T2200,0.9002454,85.76006,4.6102495
20220118T2300,0.9302454,86.84646,6.4096174
20220119T0000,1.2102454,85.86297,5.1165614
20220119T0100,0.5902454,88.22757,5.00128
20220119T0200,0.3202454,90.04107,5.815978
20220119T0300,-0.029754579,91.28013,6.0347
20220119T0400,0.2802454,90.57028,5.95906
20220119T0500,0.020245433,90.61251,5.6920996
20220119T0600,0.2102454,91.167076,5.2416787
20220119T0700,-0.04975462,91.81947,4.73506
20220119T0800,-0.1397546,91.40532,5.3999996
20220119T0900,1.2902454,87.01757,6.162207
20220119T1000,2.3202453,83.46335,6.9247384
20220119T1100,2.8302455,83.17055,10.009036
20220119T1200,3.3102455,81.32343,10.691453
20220119T1300,3.6002455,80.48537,12.783802
20220119T1400,3.4302454,80.57561,13.527572
20220119T1500,3.3702455,79.45715,11.631956
